서비스_업종_코드_명,상권_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_직장_인구_수,총_상주인구_수
커피-음료,3110172,923229.4,417430.28,505799.62,175719.88,112118.11,144302.05,162207.95,141613.1,187269.05,251037.05,189349.17,100263.03,102897.06,151398.11,128284.086,131632.22,131589.05,132146.11,131519.08,131454.08,131585.05,133303.05,973.0,3784.0
커피-음료,3110173,340037.1,173208.95,166828.05,43552.992,45626.004,61206.0,51491.008,62856.0,75305.0,91362.01,81858.98,41972.99,36647.99,46996.992,41197.99,48648.99,48252.98,48385.008,48482.996,48809.004,49237.02,48220.008,542.0,1266.0
커피-음료,3110174,694905.6,306336.22,388570.28,96255.37,81250.02,102600.02,110820.15,107765.02,196217.05,210569.06,140363.3,68353.45,70251.02,108661.11,96709.125,95970.17,96010.18,97848.24,96558.25,96028.13,103732.11,108761.17,683.0,4553.0
커피-음료,3110175,985613.2,456760.66,528854.75,151807.39,156154.05,174984.95,175617.02,155749.1,171300.95,259886.45,198233.48,113639.22,119441.99,169823.97,124589.01,139947.03,139018.34,140552.2,140068.0,139726.02,142122.94,144180.03,874.0,4797.0
커피-음료,3110176,1352767.1,618616.06,734151.06,134683.05,172131.95,196089.02,198868.95,241456.05,409540.1,418383.9,265663.94,131527.48,135620.05,212524.02,189048.03,188103.05,186892.05,189549.02,187719.97,186359.02,203089.02,211057.02,782.0,5677.0
커피-음료,3110177,114376.2,50296.027,64080.01,15517.025,13501.006,16439.006,19097.01,18611.973,31209.994,36114.027,23935.02,11145.019,10885.003,16999.008,15300.019,15509.042,15619.003,15878.02,15671.004,15535.997,17518.012,18645.012,72.0,1457.0
커피-음료,3110178,360733.56,159323.81,201409.44,60462.473,50131.984,49105.004,62269.99,56958.945,81803.95,97903.98,78952.85,46559.766,41709.965,53304.973,42299.973,51191.97,51504.855,51320.88,51528.914,49736.89,50948.99,54501.984,293.0,1055.0
커피-음료,3110179,404374.9,177768.95,226606.95,70887.95,53708.99,54379.004,70494.01,64400.008,90505.01,117860.98,89006.98,50757.97,45246.977,54040.99,47462.004,59071.0,59475.99,59345.004,59274.99,57240.99,54061.0,55907.004,1004.0,998.0
커피-음료,3110180,266843.9,124809.98,142034.95,26916.994,35105.99,42263.99,47301.945,48038.977,67215.98,61670.99,52550.99,36356.99,37636.99,48752.97,29873.994,38288.99,37730.99,38653.99,38688.99,39012.99,39249.99,35216.973,7034.0,1207.0
커피-음료,3120053,2865298.0,1304534.4,1560764.5,276177.28,1198551.2,483984.2,328065.9,270324.7,308194.53,518672.28,461043.78,361587.9,417618.9,694442.06,411935.9,379339.9,389045.9,400816.75,396566.9,422420.28,466094.7,411015.9,1689.0,4002.0
커피-음료,3120054,2059142.1,955326.3,1103810.0,256290.88,828030.3,337755.9,239460.92,188536.95,209056.88,514951.66,426702.78,264811.6,256363.66,338132.03,258177.52,297689.2,300631.62,304353.5,300056.0,294404.03,282031.72,279976.4,362.0,4920.0
커피-음료,3120055,2559313.2,1200074.8,1359239.6,230605.95,612322.8,549457.8,395628.94,327986.1,443313.97,575466.0,513983.1,311481.1,324949.9,495062.9,338372.9,362865.9,365634.9,369528.94,367126.97,371040.1,366865.9,356250.9,3475.0,6506.0
커피-음료,3120056,1370439.1,690943.06,679496.06,112425.98,310522.94,281580.94,214708.0,215122.95,236079.02,287378.06,270730.9,174264.81,181143.97,272365.9,184555.95,196349.05,197394.95,196597.97,197918.0,201625.92,198242.98,182309.95,7498.0,4317.0
