bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
MA010120220806690293,어울림,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215810,광장동,1121510400,광장동,1.12151E+18,1,대지,393,21,서울특별시 광진구 광장동 393-21,1.12154E+11,서울특별시 광진구 광장로1나길,10,,1.12151E+24,,서울특별시 광진구 광장로1나길 10,143811,4966,,1,,127.10201626,37.548473799
MA010120220806674745,경복궁퍼시픽스타,건대점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215840,자양3동,1121510500,자양동,1.12151E+18,1,대지,227,342,서울특별시 광진구 자양동 227-342,1.12153E+11,서울특별시 광진구 능동로,90,,1.12151E+24,더클래식,서울특별시 광진구 능동로 90,143854,5065,,1,,127.07092087,37.538360327
MA010120220806749762,명동홍두깨칼국수,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,11,서울특별시,11215,광진구,11215740,중곡1동,1121510100,중곡동,1.12151E+18,1,대지,229,5,서울특별시 광진구 중곡동 229-5,1.12154E+11,서울특별시 광진구 긴고랑로11길,11,,1.12151E+24,제일시장,서울특별시 광진구 긴고랑로11길 11,143903,4910,,1,,127.08130162,37.563914952
MA010120220806766789,소도,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215860,구의2동,1121510300,구의동,1.12151E+18,1,대지,80,40,서울특별시 광진구 구의동 80-40,1.12154E+11,서울특별시 광진구 자양로37가길,4,,1.12151E+24,명칭없음,서울특별시 광진구 자양로37가길 4,143819,4993,,1,,127.0873949,37.547845817
MA010120220806762332,먹오삼,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215870,구의3동,1121510300,구의동,1.12151E+18,1,대지,244,51,서울특별시 광진구 구의동 244-51,1.12153E+11,서울특별시 광진구 구의로,8,,1.12151E+24,,서울특별시 광진구 구의로 8,143918,5045,,1,,127.0893869,37.538663143
MA010120220806720873,숙성회&손두부화양동,,I2,음식,I201,한식,I20101,백반/한정식,I56129,기타 외국식 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,20,25,서울특별시 광진구 화양동 20-25,1.12154E+11,서울특별시 광진구 광나루로12길,19,,1.12151E+24,,서울특별시 광진구 광나루로12길 19,143916,5007,,1,,127.06755662,37.546732585
MA010120220806732864,향수,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,23,40,서울특별시 광진구 화양동 23-40,1.12153E+11,서울특별시 광진구 동일로,166,,1.12151E+24,,서울특별시 광진구 동일로 166,143916,5007,,1,,127.06699098,37.546904097
MA010120220806723676,아우네우리돼지생고기전문,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215840,자양3동,1121510500,자양동,1.12151E+18,1,대지,584,28,서울특별시 광진구 자양동 584-28,1.12153E+11,서울특별시 광진구 자양번영로,15,,1.12151E+24,,서울특별시 광진구 자양번영로 15,143864,5093,,,,127.07482844,37.531023771
MA010120220806723912,일품양평해장국,,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,11,서울특별시,11215,광진구,11215730,군자동,1121510900,군자동,1.12151E+18,1,대지,362,1,서울특별시 광진구 군자동 362-1,1.12153E+11,서울특별시 광진구 군자로,70,,1.12151E+24,,서울특별시 광진구 군자로 70,143840,5004,,1,,127.07086311,37.549064233
MA010120220806773438,차고집냉면,,I2,음식,I201,한식,I20106,냉면/밀면,I56112,한식 면 요리 전문점,11,서울특별시,11215,광진구,11215710,화양동,1121510700,화양동,1.12151E+18,1,대지,527,,서울특별시 광진구 화양동 527,1.12153E+11,서울특별시 광진구 광나루로,410,,1.12151E+24,케이씨씨파크타운,서울특별시 광진구 광나루로 410,143926,5021,,1,,127.07501372,37.546574913
