서비스_업종_코드_명,상권_코드,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_직장_인구_수,총_상주인구_수,연도,분기,분기_sin,분기_cos
중식음식점,3110172,922679.1,414364.25,457699.3,175168.1,112845.24,145281.9,162410.83,141668.78,183515.23,238355.38,172460.14,98136.87,103472.555,152794.12,128352.95,116095.53,120996.46,124370.85,120506.66,131508.89,131676.47,130864.05,973.0,3784.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110173,323633.84,171700.53,167143.12,43418.33,43057.03,59538.895,47860.45,63181.008,73290.07,86276.68,82071.89,42182.344,35735.51,47081.8,40223.625,45044.797,48282.02,48048.426,48481.547,49059.156,48344.36,48558.56,542.0,1266.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110174,694905.44,306336.1,390897.2,96255.02,81250.02,102629.34,111231.9,107899.52,196217.05,211232.53,140808.02,68353.055,70251.02,108661.06,96709.02,96972.99,97567.87,98073.766,96558.02,96029.45,104336.24,108761.02,683.0,4553.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110175,989962.4,457035.78,529361.9,151807.17,156205.9,170659.92,175924.44,156107.66,171285.36,259940.47,198225.48,113648.57,120005.69,170722.89,124589.01,140079.39,139075.08,140596.88,140564.53,139892.17,142139.14,144485.55,874.0,4797.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110176,1352211.8,619480.3,732638.25,134763.27,170170.61,194882.58,197006.58,243274.23,411910.78,409712.53,265635.3,134288.08,136305.1,209722.53,186528.6,183669.11,187700.64,187042.31,184897.55,185132.16,201549.05,211265.95,782.0,5677.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110177,113527.03,44862.34,64188.72,15484.01,13484.792,16506.168,19180.586,18558.338,31225.559,35536.0,23643.998,11145.393,9616.595,17005.049,15326.922,13925.175,15294.0,15880.019,15882.213,15763.391,14938.834,18644.055,72.0,1457.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110178,357773.97,158580.0,199193.02,59610.926,49285.793,48987.574,63149.543,56822.434,81414.266,93827.99,76374.99,46439.996,41447.11,53490.28,41778.855,51149.996,51357.996,50293.996,50754.0,48956.008,50741.387,53921.996,293.0,1055.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110179,404819.56,177785.77,223249.02,70919.88,50229.01,53405.99,68084.42,63497.953,91572.55,113083.22,85542.98,50493.0,45262.168,54041.03,47432.492,58376.004,58804.01,58290.29,58899.758,56168.3,53905.3,54658.004,1004.0,998.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3110180,265463.78,123193.305,141561.64,28394.973,34701.777,41023.53,46619.223,47155.742,63322.35,61577.15,52548.28,35627.86,37476.09,47876.434,29559.379,37806.42,37730.992,38663.8,38492.04,38356.055,38435.625,35142.81,7034.0,1207.0,2025,2,1.2246467991473532e-16,-1.0
중식음식점,3120053,2829671.0,1302029.5,1506905.9,272276.1,1194413.2,484134.28,326750.2,269178.9,308201.56,519006.28,452117.78,357959.7,409489.1,673596.8,406500.62,375652.75,389246.25,401323.78,387041.97,422762.53,465902.0,411001.3,1689.0,4002.0,2025,2,1.2246467991473532e-16,-1.0
